0.005000 0.000003
0.015000 0.000025
0.025000 0.000055
0.035000 0.000074
0.045000 0.000076
0.055000 0.000057
0.065000 0.000055
0.075000 0.000045
0.085000 0.000039
0.095000 0.000034
0.105000 0.000026
0.115000 0.000020
0.125000 0.000019
0.135000 0.000017
0.145000 0.000013
0.155000 0.000010
0.165000 0.000009
0.175000 0.000006
0.185000 0.000006
0.195000 0.000005
0.205000 0.000004
0.215000 0.000003
0.225000 0.000003
0.235000 0.000002
0.245000 0.000002
0.255000 0.000002
0.265000 0.000002
0.275000 0.000002
0.285000 0.000001
0.295000 0.000001
0.305000 0.000001
0.315000 0.000001
0.325000 0.000001
0.335000 0.000001
